sensor	date	time	timestamp	pm2_5_ug_m3	aqi_us	aqi_cn	pm10_ug_m3	pm1_ug_m3	outdoor_aqi_us	outdoor_aqi_cn	temperature_c	temperature_f	humidity_percent_rh	co2_ppm	voc_ppb	experimentID	participantID	start_time	stop_time	toilet_type	activity	duration_of_expt
CEN00389	2022-05-31	45612	2022-05-31T12:40:12Z	1	4	1	1	0	0	0	19.8	67.6	48	438	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45622	2022-05-31T12:40:22Z	1	4	1	1	0	0	0	19.7	67.5	48	438	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45632	2022-05-31T12:40:32Z	1	4	1	1	0	0	0	19.7	67.5	48	437	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45642	2022-05-31T12:40:42Z	1	4	1	1	0	0	0	19.7	67.5	48	436	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45652	2022-05-31T12:40:52Z	1	4	1	1	0	0	0	19.7	67.4	48	436	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45662	2022-05-31T12:41:02Z	1	4	1	1	0	0	0	19.7	67.4	48	435	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45672	2022-05-31T12:41:12Z	1	4	1	1	0	0	0	19.7	67.4	48	434	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45682	2022-05-31T12:41:22Z	1	4	1	1	0	0	0	19.6	67.3	48	432	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45692	2022-05-31T12:41:32Z	1	4	1	1	0	0	0	19.6	67.3	48	431	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45702	2022-05-31T12:41:42Z	1	4	1	1	0	0	0	19.6	67.3	48	430	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45712	2022-05-31T12:41:52Z	1	4	1	1	0	0	0	19.6	67.3	48	429	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45722	2022-05-31T12:42:02Z	1	4	1	1	0	0	0	19.6	67.3	48	427	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45732	2022-05-31T12:42:12Z	1	4	1	1	0	0	0	19.6	67.3	48	426	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45742	2022-05-31T12:42:22Z	1	4	1	1	0	0	0	19.6	67.2	48	425	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45752	2022-05-31T12:42:32Z	1	4	1	1	0	0	0	19.6	67.2	48	423	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45762	2022-05-31T12:42:42Z	1	4	1	1	0	0	0	19.6	67.2	48	423	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45772	2022-05-31T12:42:52Z	1	4	1	1	0	0	0	19.5	67.2	48	422	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45782	2022-05-31T12:43:02Z	1	4	1	1	0	0	0	19.5	67.2	48	422	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45792	2022-05-31T12:43:12Z	1	4	1	1	0	0	0	19.5	67.2	48	422	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	46102	2022-05-31T12:48:22Z	1	4	1	1	0	0	0	19.3	66.8	49	425	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	46402	2022-05-31T12:53:22Z	3	13	4	3	1	0	0	19.5	67.1	56	497	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	46702	2022-05-31T12:58:22Z	1	4	1	1	0	0	0	19.8	67.7	51	553	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47002	2022-05-31T13:03:22Z	1	4	1	1	0	0	0	19.7	67.5	51	551	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47302	2022-05-31T13:08:22Z	1	4	1	1	0	0	0	19.7	67.5	51	492	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47602	2022-05-31T13:13:22Z	1	4	1	1	0	0	0	19.7	67.5	50	470	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47660	2022-05-31T13:14:20Z	2	8	3	3	0	0	0	19.8	67.6	51	472	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47670	2022-05-31T13:14:30Z	3	13	4	3	1	0	0	19.8	67.6	51	475	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47680	2022-05-31T13:14:40Z	3	13	4	3	1	0	0	19.8	67.6	51	480	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47690	2022-05-31T13:14:50Z	3	13	4	3	1	0	0	19.8	67.6	51	483	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47700	2022-05-31T13:15:00Z	3	13	4	3	1	0	0	19.8	67.6	51	560	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47710	2022-05-31T13:15:10Z	2	8	3	2	0	0	0	19.9	67.8	55	667	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47720	2022-05-31T13:15:20Z	1	4	1	1	0	0	0	19.9	67.8	55	885	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47730	2022-05-31T13:15:30Z	1	4	1	1	0	0	0	19.9	67.8	55	1027	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47740	2022-05-31T13:15:40Z	0	0	0	0	0	0	0	20	67.9	56	1237	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47750	2022-05-31T13:15:50Z	0	0	0	0	0	0	0	20	67.9	56	1335	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47760	2022-05-31T13:16:00Z	0	0	0	0	0	0	0	20	67.9	56	1460	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47770	2022-05-31T13:16:10Z	1	4	1	1	0	0	0	20	68	56	1522	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47780	2022-05-31T13:16:20Z	0	0	0	0	0	0	0	20	68	56	1577	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47790	2022-05-31T13:16:30Z	1	4	1	1	0	0	0	20	68	56	1607	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47800	2022-05-31T13:16:40Z	1	4	1	1	0	0	0	20.1	68.1	57	1644	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47810	2022-05-31T13:16:50Z	1	4	1	1	0	0	0	20.1	68.1	57	1661	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47820	2022-05-31T13:17:00Z	1	4	1	1	0	0	0	20.1	68.1	57	1682	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47830	2022-05-31T13:17:10Z	0	0	0	0	0	0	0	20.1	68.2	57	1687	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47840	2022-05-31T13:17:20Z	1	4	1	1	0	0	0	20.1	68.2	57	1695	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47850	2022-05-31T13:17:30Z	1	4	1	1	0	0	0	20.1	68.2	57	1700	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47860	2022-05-31T13:17:40Z	0	0	0	0	0	0	0	20.1	68.3	57	1711	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47870	2022-05-31T13:17:50Z	0	0	0	0	0	0	0	20.1	68.3	57	1712	NA	NA	NA	NA	NA	NA	NA	NA
